,content,time,author
76,<@!332167919335243778> CHIKA,2021-10-13 02:44:18.359,377787590729924608
77,.trade <@!377787590729924608>,2021-10-13 06:14:35.269,528580754683461632
78,<@!345445833489121280>,2021-10-13 10:35:47.096,386643626530308096
79,$wl <@!528580754683461632>,2021-10-13 10:38:29.705,377787590729924608
80,$wl <@!708992571178876992>,2021-10-13 10:38:37.290,377787590729924608
81,<@386643626530308096> rd yuji sini,2021-10-13 10:42:21.717,528580754683461632
82,"<@!490180796804497419> kok lu chilled meat mulu, naik dong",2021-10-13 11:57:09.556,528580754683461632
83,<@!377787590729924608> <@!528580754683461632> <@!386643626530308096>,2021-10-13 12:08:48.150,490180796804497419
84,$mmkr <@!490180796804497419>,2021-10-13 13:09:08.743,345445833489121280
85,$givek <@!345445833489121280> 1500,2021-10-13 13:11:53.105,490180796804497419
86,$give <@!490180796804497419> satoru gojo,2021-10-13 13:12:18.927,345445833489121280
87,klen punya joestar gaa <@!386643626530308096> <@!528580754683461632>,2021-10-13 13:22:26.783,377787590729924608
88,owocuddle <@!386643626530308096>,2021-10-13 13:26:40.297,377787590729924608
89,owocuddle <@!377787590729924608>,2021-10-13 13:26:56.879,386643626530308096
90,gini kapan bund <@!490180796804497419>,2021-10-13 13:27:27.307,377787590729924608
91,<@!490180796804497419>,2021-10-13 13:31:30.783,377787590729924608
92,owopat <@!377787590729924608>,2021-10-13 13:33:07.447,345445833489121280
93,owokiss <@!377787590729924608>,2021-10-13 13:33:15.877,386643626530308096
94,<@!490180796804497419> ini yg gabakalan,2021-10-13 13:36:21.561,377787590729924608
95,.tr <@!377787590729924608>,2021-10-13 14:01:27.975,528580754683461632
96,.trade <@!377787590729924608>,2021-10-13 14:02:06.103,528580754683461632
97,.dg fight <@!332167919335243778>,2021-10-13 14:58:55.032,377787590729924608
98,<@!490180796804497419> chel,2021-10-13 15:21:27.944,377787590729924608
99,.dg fight <@377787590729924608>,2021-10-13 15:40:55.623,490180796804497419
100,.dg fight <@!528580754683461632>,2021-10-13 16:14:17.354,377787590729924608
101,<@!490180796804497419>,2021-10-13 17:47:58.545,377787590729924608
102,<@292567325855711235> i got himmmm,2021-10-14 00:24:49.896,386643626530308096
103,.trade <@!528580754683461632>,2021-10-14 03:36:38.625,377787590729924608
104,.trade <@!386643626530308096>,2021-10-14 03:39:27.273,377787590729924608
105,<@!377787590729924608>,2021-10-14 03:49:14.469,386643626530308096
106,.trade <@!386643626530308096>,2021-10-14 03:59:07.175,528580754683461632
107,<@!345445833489121280>,2021-10-14 04:03:38.076,386643626530308096
108,<@!345445833489121280>,2021-10-14 04:03:45.833,386643626530308096
109,<@!345445833489121280>,2021-10-14 04:04:00.225,386643626530308096
110,<@!386643626530308096>,2021-10-14 04:08:19.335,345445833489121280
111,<@!332167919335243778>,2021-10-14 04:08:59.742,386643626530308096
112,$mmrk <@!345445833489121280>,2021-10-14 04:11:04.749,386643626530308096
113,<@!345445833489121280>,2021-10-14 04:44:54.852,386643626530308096
114,<@!377787590729924608> kemn,2021-10-14 06:46:08.587,528580754683461632
115,thankyouuu hahahaha <@!528580754683461632>,2021-10-14 06:49:23.064,345445833489121280
116,<@!528580754683461632> valo ga jdnya,2021-10-14 07:45:08.274,490180796804497419
117,gajadi main bund klen? <@!490180796804497419>,2021-10-14 08:04:48.090,377787590729924608
118,roo u done with all forumms? <@!386643626530308096>,2021-10-14 08:54:51.981,377787590729924608
119,owopat <@!528580754683461632>,2021-10-14 08:56:48.771,345445833489121280
120,owokill <@!345445833489121280>,2021-10-14 08:58:40.014,490180796804497419
121,cal u pake rize gaa <@!528580754683461632>,2021-10-14 09:13:24.566,377787590729924608
122,esyaannn <@!528580754683461632>,2021-10-14 09:16:36.620,377787590729924608
123,.trade <@!377787590729924608>,2021-10-14 09:20:48.544,528580754683461632
124,hf cal <@!528580754683461632>,2021-10-14 09:21:05.384,377787590729924608
125,ro do u have senku? <@!386643626530308096>,2021-10-14 09:24:36.283,377787590729924608
126,<@!887620839107870740>,2021-10-14 10:24:27.650,377787590729924608
127,$give <@!490180796804497419> tatsumi,2021-10-14 15:46:34.051,377787590729924608
128,owobite <@!377787590729924608>,2021-10-14 16:57:19.715,292567325855711235
129,owopunch <@!377787590729924608>,2021-10-14 16:58:11.421,345445833489121280
130,owopunch <@!292567325855711235>,2021-10-14 17:04:42.699,345445833489121280
131,owohug <@!345445833489121280>,2021-10-14 17:04:53.947,292567325855711235
132,<@!345445833489121280> ICA ANOTHER BL I READ IS HERE,2021-10-14 17:11:22.603,386643626530308096
133,<@!345445833489121280> dapet chrome akuu,2021-10-14 19:02:21.714,386643626530308096
134,<@528580754683461632> rd spawn uda?,2021-10-15 04:01:23.755,386643626530308096
135,anda ga main? <@!332167919335243778>,2021-10-15 11:37:55.938,377787590729924608
136,<@!377787590729924608> apa nih.. apa nih..,2021-10-15 11:53:23.863,345445833489121280
137,<@386643626530308096>,2021-10-15 12:01:00.907,292567325855711235
138,cal cal kamu pake kenma gaa <@!528580754683461632>,2021-10-15 12:14:24.569,377787590729924608
139,<@!377787590729924608>,2021-10-15 12:53:25.882,345445833489121280
140,<@!292567325855711235>,2021-10-15 12:54:33.662,345445833489121280
141,mw main ga kamu <@!377787590729924608>,2021-10-15 12:55:31.706,490180796804497419
142,main pas di puncak <@!490180796804497419>,2021-10-15 13:04:40.589,377787590729924608
143,<@!490180796804497419> u want?,2021-10-15 15:01:09.355,345445833489121280
144,.trade <@!386643626530308096>,2021-10-15 15:38:59.289,377787590729924608
145,.trade <@!386643626530308096>,2021-10-15 15:40:20.565,377787590729924608
146,<@!377787590729924608>,2021-10-15 16:26:29.097,386643626530308096
147,<@!332167919335243778>,2021-10-15 19:44:17.752,377787590729924608
148,Eh bang <@528580754683461632>,2021-10-16 03:28:43.079,490180796804497419
149,<@!887620839107870740>,2021-10-16 04:31:32.267,377787590729924608
150,<@!292567325855711235>,2021-10-16 04:31:34.835,377787590729924608
151,<@!345445833489121280>,2021-10-16 04:45:22.339,528580754683461632
152,<@345445833489121280>,2021-10-16 04:45:51.324,386643626530308096
153,<@!528580754683461632>,2021-10-16 05:27:15.110,377787590729924608
154,<@!386643626530308096>,2021-10-16 05:27:20.351,377787590729924608
155,Tadi kenapa jec <@377787590729924608>,2021-10-16 05:57:29.799,490180796804497419
156,<@!386643626530308096> what did u do sampe bagus2,2021-10-16 06:00:26.434,528580754683461632
157,<@377787590729924608>,2021-10-16 06:04:19.078,345445833489121280
158,<@!345445833489121280>,2021-10-16 08:46:29.646,377787590729924608
159,owohug <@!386643626530308096>,2021-10-16 09:19:33.174,377787590729924608
160,<@377787590729924608> jec kira2 butuh brp hinawa ya,2021-10-16 11:08:59.605,528580754683461632
161,<@386643626530308096> ro coba upgrade clan,2021-10-16 11:37:14.938,528580754683461632
162,Amvil punya gw aj chel <@490180796804497419>,2021-10-16 13:12:28.511,332167919335243778
163,<@!528580754683461632>,2021-10-17 05:01:05.619,377787590729924608
164,<@377787590729924608>,2021-10-17 05:04:21.740,490180796804497419
165,<@!490180796804497419>,2021-10-17 05:07:08.881,377787590729924608
166,owohug <@!386643626530308096>,2021-10-17 05:12:17.429,377787590729924608
167,<@!528580754683461632> sini,2021-10-17 07:58:49.260,377787590729924608
168,.dg fight <@!490180796804497419>,2021-10-17 08:42:05.736,377787590729924608
169,.dg fight <@!490180796804497419>,2021-10-17 08:42:20.135,377787590729924608
170,.dg fight <@!528580754683461632>,2021-10-17 08:42:32.008,377787590729924608
171,.dg fight <@!490180796804497419>,2021-10-17 08:42:49.370,377787590729924608
172,.dg fight <@!377787590729924608>,2021-10-17 08:42:50.511,490180796804497419
173,.dg fight <@!490180796804497419>,2021-10-17 08:43:31.110,377787590729924608
174,.dg fight <@!377787590729924608>,2021-10-17 08:43:31.634,490180796804497419
175,.dg fight <@!490180796804497419>,2021-10-17 08:45:31.486,377787590729924608
176,<@!386643626530308096> sini row uno gasai,2021-10-17 11:11:10.725,528580754683461632
177,<@!386643626530308096>,2021-10-17 11:13:18.811,528580754683461632
178,<@!377787590729924608> klo lawna yuno enknya apa,2021-10-17 11:14:57.865,528580754683461632
179,owowave <@!332167919335243778>,2021-10-17 11:38:13.161,377787590729924608
180,<@!345445833489121280>,2021-10-17 11:39:21.216,386643626530308096
181,<@386643626530308096> HAHAHAHAH DABII,2021-10-17 11:50:39.637,345445833489121280
182,owoavatar <@!892355468314435594>,2021-10-17 12:57:45.285,377787590729924608
183,owoavatar <@!892355468314435594>,2021-10-17 13:00:46.790,377787590729924608
184,<@!528580754683461632> rd bt,2021-10-17 14:03:45.852,377787590729924608
185,<@!377787590729924608>,2021-10-17 14:53:54.038,386643626530308096
186,.give <@528580754683461632> 30000,2021-10-17 15:44:28.091,490180796804497419
187,.givek <@332167919335243778> 500,2021-10-17 15:46:22.790,490180796804497419
